StationCode,saltwater
MB-193,True
MB-200,True
MB-203,True
MB-205,True
MB-223,True
MB-225,True
MDP10,True
MDP11,True
MDP18,True
MDRH-2,True
ME-CC,False
ME-SCR,False
ME-VR2,False
MHH01,True
MHH07,False
MHH10,True
MHH14,True
MO-CAM,False
MO-MEI,False
MO-OJA,False
MO-VEN,False
MTRALDR,False
MTRBEAR00,False
MTRBEAR01,False
MTRBIGC,False
MTRBOCA01,False
MTRCOLD00,False
MTRDMCB,False
MTRDONN01,False
MTRDONN03,False
MTRGLEN00,False
MTRI80C,False
MTRINDE,False
MTRMART00,False
MTRMART01,False
MTRPROS01,False
MTRSILV,False
MTRTOWN,False
MTRTR01,False
MTRTROU00,False
MTRTROU01,False
MTRTROU02,False
MTRWASH00,False
Montara State Beach,True
N0,True
Nimbus,False
O010,True
O060,True
O080,True
O099,True
O110,True
O140,True
O170,True
O235,True
O240,True
O320,True
O340,True
O370,True
O380,True
O410,True
O440,True
O450,True
O460,True
O488,True
O490,True
O494,True
O510,True
O520,True
O530,True
O560,True
O580,True
O590,True
OC-010,True
OC-020,True
OC-022,True
OC-030,True
OC-035,True
OC-040,True
OC-050,True
OC-080,True
OC-090,True
OC-100,True
OC-110,True
OC-SID-1,False
ODB02,True
ODB05,True
OLB00,True
OLB05,True
OLB10,True
ONB31,True
ONB35,True
ONB39,True
ONB43,True
ONB45,True
OSB01,True
OSB02,False
OSB03,True
OSB04,False
OSB05,True
OSC01,True
OSL25,True
OSUB1,True
P20f,False
PL-010,True
PL-040,True
PL-050,True
PL-060,True
PL-070,True
PL-080,True
PL-090,True
PL-100,True
PL-110,True
PL-120,True
Pescadero State Beach,True
Pillar Point #7,True
Pomponio State Beach,True
River Mile 44,False
Rockaway Beach,True
Roosevelt State Beach,True
S-0,True
S-1,True
S-11,True
S-13,True
S-15,True
S-17,True
S-19,True
S-2,True
S-21,True
S-23,True
S-3,True
S-4,True
S-5,True
S-6,True
S-7,True
S-9,True
S1,True
S10,True
S11,True
S12,True
S13,True
S14,True
S15,True
S16,True
S2,True
S3,True
S4,True
S5,True
S6,True
S7,True
S8,True
S8.5,True
S9,True
SA00101,False
SAR-N,True
SAR-S,True
SC-010,True
SC-020,False
SC00150,False
SDC-MLS,False
SDC-TWAS-1,False
SDC-TWAS-2,False
SDR-MLS,False
SE-010,True
SE-020,True
SE-030,True
SE-040,True
SE-050,True
SE-060,True
SE-070,True
SH00050,False
SJRI_01,False
SJRI_04,False
SJRI_05,False
SJRI_07,False
SJRI_09,False
SLR-MLS,False
SLR-TWAS-1,False
SMB-1-18,True
SMB-2-10,True
SMB-2-13,True
SMB-2-4,True
SMB-2-7,True
SMB-3-3,True
SMB-3-4,True
SMB-3-5,True
SMB-3-8,True
SMB-5-1,True
SMB-5-3,False
SMB-5-5,True
SMB-6-5,False
SMB-6-6,True
SMB-7-1,True
SMB-7-2,True
SMB-7-3,True
SMB-7-4,True
SMB-7-5,True
SMB-7-6,True
SMB-7-8,True
SMB-7-9,True
SMB-BC-1,True
SMB-MC-2,True
SMR-MLS,False
SR-MLS,False
San Gregorio State Beach,True
Sharp Park Beach #3,True
Sharp Park Beach #6,True
Surfers Beach,True
TC-MLS,False
TJ-020,False
TJ-030,False
TJR-MLS,False
TR00050,False
V40d,False
V45k,False
Venice Beach,True
Veterans,False
1000,True
10000,True
1001,True
1050,True
1100,False
11000,True
12000,True
13000,True
13001,True
14000,True
15000,True
16000,True
17000,True
18000,True
19000,True
2000,True
20000,True
201AUD020,False
201RDW010,True
201ROD035,True
202-ALPIN-11,False
202-BEARG-11,False
202-BUTAN-11,False
202-CALER-11,False
202-CALER-12,False
202-DEERC-12,False
202-DENNI-11,False
202-FRENC-11,True
202-GAZOS-11,True
202-GAZOS-15,False
202-LAHON-11,False
202-LOBIT-11,False
202-MARTI-11,False
202-MILLC-11,False
202-MONTA-12,False
202-PESCA-11,False
202-PILAR-11,False
202-POMPO-11,True
202-PURIS-11,False
202-SANGR-11,True
202-SANGR-12,False
202-SANGR-14,False
202-SANPE-11,False
202-SANPE-12,False
202-SANPE-13,True
202-SANVI-11,False
202-TUNIT-11,False
202-WHITE-12,False
203BAX030,False
203TEM050,False
204AMO080,False
204AMO090,False
204AMO095,False
204AVJ020,False
204AVJ130,False
204AVJ140,False
204ISL050,False
204LIO070_SWAMP,False
204LIO130,False
204LME130,False
204PRL020,False
204SAU060,False
21000,True
22000,True
23000,True
24000,True
25000,True
26000,True
27000,True
28000,False
29000,True
29500,False
3000,True
30000,True
304-APTOS-21,False
304-APTOS-22,False
304-APTOS-23,True
304-ARANA-21,False
